date,location,temp_mean,temp_max,temp_min,humidity,precipitation,heat_index,month,er_visits,mortality_risk,day_of_year,day_of_week,is_weekend,temp_yesterday,temp_2days_ago,temp_3days_ago,temp_3day_avg,temp_7day_avg,is_hot_day,is_very_hot,hot_streak,heatwave,target
2020-01-07,Atlanta,-15.336024642910047,-5.0,-15.0,53.64295224365211,0.0,-15.336024642910047,1,51,0.02,7,1,0,-8.574640890919888,-10.983744566991408,-11.09716057112794,-11.631470033607114,-11.205486250959499,0,0,0,0,57.0
2020-01-08,Atlanta,-6.562335406769776,1.6139366296686628,-10.80068672301013,81.09349979949437,0.0,-6.562335406769776,1,57,0.02,8,2,0,-15.336024642910047,-8.574640890919888,-10.983744566991408,-10.157666980199904,-10.550206542388889,0,0,0,0,59.0
2020-01-09,Atlanta,-6.343302452868866,-0.3089693568922331,-15.0,72.56903459384102,0.0,-6.3433024528688655,1,59,0.02,9,3,0,-6.562335406769776,-15.336024642910047,-8.574640890919888,-9.413887500849563,-10.051807954793972,0,0,0,0,53.0
2020-01-10,Atlanta,-10.004838898163252,0.20253032578245467,-12.150942918168044,54.19343586499659,0.0,-10.004838898163252,1,53,0.02,10,4,0,-6.343302452868866,-6.562335406769776,-15.336024642910047,-7.636825585933965,-9.843149632821596,0,0,0,0,45.0
2020-01-11,Atlanta,-7.104834255141255,-5.0,-13.175643257454494,67.10000744893779,0.0,-7.104834255141254,1,45,0.02,11,5,1,-10.004838898163252,-6.343302452868866,-6.562335406769776,-7.817658535391124,-9.272817301966356,0,0,0,0,38.0
2020-01-12,Atlanta,-10.865865149893008,-5.0,-13.510730703491722,70.03791660879122,0.0,-10.865865149893008,1,38,0.02,12,6,1,-7.104834255141255,-10.004838898163252,-6.343302452868866,-9.325179434399171,-9.255977385238014,0,0,0,0,50.0
2020-01-13,Atlanta,-9.972542356055524,-4.082614273456495,-15.0,73.20718606523901,0.0,-9.972542356055524,1,50,0.02,13,0,0,-10.865865149893008,-7.104834255141255,-10.004838898163252,-9.314413920363261,-9.455677594543104,0,0,0,0,49.0
2020-01-14,Atlanta,-8.771747035143324,-3.075346752471852,-15.0,83.44126768509418,0.0,-8.771747035143324,1,49,0.02,14,1,0,-9.972542356055524,-10.865865149893008,-7.104834255141255,-9.870051513697284,-8.51792365057643,0,0,0,0,43.0
2020-01-15,Atlanta,-8.431375611672658,-1.9277460141071117,-15.0,64.61336063450189,0.0,-8.431375611672658,1,43,0.02,15,2,0,-8.771747035143324,-9.972542356055524,-10.865865149893008,-9.058555000957169,-8.784929394133984,0,0,0,0,57.0
2020-01-16,Atlanta,-8.056631649983029,-3.1160203678701466,-13.873132960133866,76.46784529313278,2.6995912536986513,-8.056631649983029,1,57,0.02,16,3,0,-8.431375611672658,-8.771747035143324,-9.972542356055524,-8.419918098933003,-9.029690708007434,0,0,0,0,56.0
2020-01-17,Atlanta,-11.849823299345829,-5.0,-15.0,76.44591740169231,0.0,-11.849823299345829,1,56,0.02,17,4,0,-8.056631649983029,-8.431375611672658,-8.771747035143324,-9.445943520333836,-9.293259908176376,0,0,0,0,35.0
2020-01-18,Atlanta,-7.065088691456992,-0.39832249736850955,-14.561699710156688,52.544776188790394,0.0,-7.065088691456992,1,35,0.02,18,5,1,-11.849823299345829,-8.056631649983029,-8.431375611672658,-8.990514546928615,-9.287581970507194,0,0,0,0,35.0
2020-01-19,Atlanta,-10.233994541487318,0.2538028123121645,-12.494340831924106,66.52304825936037,0.0,-10.233994541487318,1,35,0.02,19,6,1,-7.065088691456992,-11.849823299345829,-8.056631649983029,-9.716302177430045,-9.197314740734953,0,0,0,0,47.0
2020-01-20,Atlanta,-15.166806803056486,-5.0,-15.0,98.00854338160104,0.0,-15.166806803056485,1,47,0.02,20,0,0,-10.233994541487318,-7.065088691456992,-11.849823299345829,-10.821963345333598,-9.939352518877948,0,0,0,0,49.0
2020-01-21,Atlanta,-10.792435604735664,-1.8668486022130435,-14.364077353706016,49.060711164389886,0.0,-10.792435604735665,1,49,0.02,21,1,0,-15.166806803056486,-10.233994541487318,-7.065088691456992,-12.06441231642649,-10.228022314533998,0,0,0,0,43.0
2020-01-22,Atlanta,-14.917475369859147,-5.0,-15.0,72.90812735612218,0.0,-14.917475369859147,1,43,0.02,22,2,0,-10.792435604735664,-15.166806803056486,-10.233994541487318,-13.625572592550432,-11.154607994274924,0,0,0,0,47.0
2020-01-23,Atlanta,-7.37459460557988,-0.04800856906749451,-13.028438006713692,100.0,0.0,-7.374594605579881,1,47,0.02,23,3,0,-14.917475369859147,-10.792435604735664,-15.166806803056486,-11.028168526724896,-11.057174130788757,0,0,0,0,50.0
2020-01-24,Atlanta,-13.31089556442097,-4.371835010094237,-15.0,63.159563030464085,0.0,-13.31089556442097,1,50,0.02,24,4,0,-7.37459460557988,-14.917475369859147,-10.792435604735664,-11.867655179953331,-11.265898740085207,0,0,0,0,41.0
2020-01-25,Atlanta,-9.429603502544092,-5.0,-13.393323035491989,67.32785587258586,0.0,-9.429603502544094,1,41,0.02,25,5,1,-13.31089556442097,-7.37459460557988,-14.917475369859147,-10.03836455751498,-11.603686570240509,0,0,0,0,45.0
2020-01-26,Atlanta,-16.103233994256044,-5.0,-15.0,71.9618887234685,0.0,-16.103233994256044,1,45,0.02,26,6,1,-9.429603502544092,-13.31089556442097,-7.37459460557988,-12.947911020407034,-12.44214934920747,0,0,0,0,43.0
2020-01-27,Atlanta,-12.587916761572409,-5.0,-15.0,47.11349768245151,0.0,-12.587916761572409,1,43,0.02,27,0,0,-16.103233994256044,-9.429603502544092,-13.31089556442097,-12.706918086124181,-12.073736486138316,0,0,0,0,57.0
2020-01-28,Atlanta,-11.763187587864403,-5.0,-15.0,74.08949065320672,0.0,-11.763187587864403,1,57,0.02,28,1,0,-12.587916761572409,-16.103233994256044,-9.429603502544092,-13.484779447897617,-12.212415340870992,0,0,0,0,46.0
2020-01-29,Atlanta,-4.321220236602082,3.4065977889801182,-12.376450995081132,77.61655181052782,0.0,-4.321220236602083,1,46,0.02,29,2,0,-11.763187587864403,-12.587916761572409,-16.103233994256044,-9.55744152867963,-10.698664607548553,0,0,0,0,44.0
2020-01-30,Atlanta,-10.944851430377563,-3.8680008468573974,-15.0,83.03987483482186,0.09013919350622693,-10.944851430377563,1,44,0.02,30,3,0,-4.321220236602082,-11.763187587864403,-12.587916761572409,-9.009753084948015,-11.208701296805367,0,0,0,0,55.0
2020-01-31,Atlanta,-11.260306359434564,-2.1028037522875844,-12.669886647868603,49.8569466731596,0.0,-11.260306359434564,1,55,0.02,31,4,0,-10.944851430377563,-4.321220236602082,-11.763187587864403,-8.842126008804735,-10.915759981807309,0,0,0,0,39.0
2020-02-01,Atlanta,-6.999422277219424,-0.56392092975487,-10.287603876243415,63.842594538833154,0.0,-6.999422277219425,2,39,0.02,32,5,1,-11.260306359434564,-10.944851430377563,-4.321220236602082,-9.73486002234385,-10.568591235332354,0,0,0,0,40.0
2020-02-02,Atlanta,-13.583780742877586,-5.0,-15.0,60.048001290169125,0.0,-13.583780742877586,2,40,0.02,33,6,1,-6.999422277219424,-11.260306359434564,-10.944851430377563,-10.614503126510524,-10.20866934227829,0,0,0,0,50.0
2020-02-03,Atlanta,-9.339890505045199,1.1396951133353292,-14.406605122755156,57.9546145474595,0.0,-9.339890505045199,2,50,0.02,34,0,0,-13.583780742877586,-6.999422277219424,-11.260306359434564,-9.974364508380736,-9.744665591345832,0,0,0,0,48.0
2020-02-04,Atlanta,-5.954959311263834,1.6126996864894845,-12.863090674597917,96.73235644800164,0.0,-5.954959311263833,2,48,0.02,35,1,0,-9.339890505045199,-13.583780742877586,-6.999422277219424,-9.626210186395538,-8.914918694688607,0,0,0,0,41.0
2020-02-05,Atlanta,-4.36190326207694,2.0958883846322793,-11.451055390415622,88.19824220526505,0.0,-4.36190326207694,2,41,0.02,36,2,0,-5.954959311263834,-9.339890505045199,-13.583780742877586,-6.552251026128656,-8.92073055547073,0,0,0,0,54.0
2020-02-06,Atlanta,-11.392410466830873,-5.0,-15.0,60.629972471604646,0.0,-11.392410466830873,2,54,0.02,37,3,0,-4.36190326207694,-5.954959311263834,-9.339890505045199,-7.236424346723882,-8.984667560678345,0,0,0,0,53.0
2020-02-07,Atlanta,-7.02190599937229,1.1694731038982922,-12.521766297846144,78.26869367001183,0.0,-7.02190599937229,2,53,0.02,38,4,0,-11.392410466830873,-4.36190326207694,-5.954959311263834,-7.592073242760033,-8.379181794955164,0,0,0,0,34.0
